Programa;NNA_en_intervención;NNA_Cuidadorxs_trauma;Impacto_intervención;Área_impacto;Vulnerabilidad;Área_vulnerabilidad;Herramientas_dg;Herramientas_tto;Relevancia
1;22;19;1;2;1;1;1;1;1
2;27;25;1;3;1;3;1;2;1
2;25;10;2;3;1;1;3;1;1
2;24;22;1;2;1;3;2;1;1
2;25;13;1;3;1;3;3;1;1
2;25;5;1;2;1;3;1;1;1
2;25;15;1;2;1;1;1;1;1
17;6;2;2;2;1;1;1;2;1
2;25;24;4;3;1;3;3;3;1
3;25;14;1;2;1;2;1;1;1
4;25;15;2;3;2;1;1;1;1
3;25;21;1;3;1;3;1;1;1
17;27;15;3;2;2;1;1;2;1
3;27;15;2;2;1;2;1;1;1
5;25;25;1;2;2;1;1;1;1
5;25;25;3;4;1;4;1;1;1
6;25;8;1;3;2;4;1;1;1
7;25;25;1;3;1;1;3;3;1
7;25;25;1;3;1;1;1;1;1
17;25;22;1;3;1;3;1;1;1
8;25;10;2;3;1;3;3;3;1
3;25;22;2;2;2;1;1;1;1
3;25;22;2;4;2;1;1;1;1
17;25;20;2;2;2;1;1;1;1
8;25;16;1;2;1;1;1;2;1
7;25;25;1;3;1;3;1;1;1
17;25;25;1;3;1;1;3;2;1
3;25;24;2;3;1;1;1;1;1
9;25;25;2;2;1;2;1;2;2
4;25;20;1;2;1;2;1;1;1
6;25;12;2;3;2;1;1;1;1
3;25;20;1;2;1;2;1;1;1
17;25;18;2;2;1;1;1;1;1
7;25;20;3;4;1;1;1;1;1
10;25;10;2;2;3;4;1;1;1
5;25;8;2;2;2;3;1;1;1
4;25;25;1;3;1;1;1;2;1
5;25;15;1;2;2;1;1;2;1
5;22;10;2;2;2;1;1;1;1
5;21;10;2;2;2;1;1;1;1
10;25;20;3;4;3;4;1;1;1
11;24;24;3;4;1;3;1;1;1
11;24;22;2;3;1;3;1;2;1
11;23;21;1;3;1;3;1;2;1
12;25;15;2;3;1;3;3;2;1
11;23;23;1;2;1;2;1;3;1
13;25;20;2;3;2;3;1;1;1
13;25;14;2;2;2;3;2;3;1
13;23;20;1;2;1;2;1;1;1
13;25;25;1;3;1;1;1;1;1
13;25;25;1;2;1;3;1;2;1
14;12;5;1;2;1;3;1;1;1
8;25;14;2;2;2;1;1;1;1
8;28;8;2;3;2;1;1;1;1
6;25;25;2;3;2;3;1;2;1
6;25;25;1;2;1;1;1;1;1
6;25;25;1;2;1;2;1;1;1
6;25;20;1;2;2;2;1;1;1
6;25;4;1;2;1;1;1;1;1
6;25;25;1;3;2;1;2;2;1
6;12;8;2;2;1;1;2;2;1
7;25;0;1;3;2;1;1;2;1
8;25;10;1;3;1;3;2;2;1
14;25;20;1;3;1;3;2;2;1
14;25;20;1;3;1;1;1;2;1
14;25;12;1;3;1;3;1;1;1
17;25;10;1;3;1;1;1;1;1
17;25;25;1;2;1;1;1;1;1
8;25;16;1;3;2;1;2;2;1
4;25;11;1;3;1;3;2;2;1
8;25;10;1;3;2;1;1;1;1
6;25;12;1;3;2;1;1;2;1
12;25;23;2;2;2;1;3;3;1
17;25;20;3;4;1;1;1;3;1
12;25;15;2;2;1;3;2;2;1
13;25;20;1;3;1;1;1;1;1
13;25;20;1;3;1;1;1;1;1
4;25;16;2;2;2;4;1;2;1
14;25;25;1;3;2;3;2;2;1
11;24;22;3;4;3;4;1;1;1
11;25;24;1;3;1;3;1;1;1
15;25;5;2;3;2;1;1;2;1
11;25;23;1;2;1;2;1;1;1
16;23;23;1;2;1;2;1;1;1
17;23;23;1;3;1;1;2;1;1
3;26;24;1;3;1;3;1;1;1
3;23;12;3;4;3;4;1;1;1
3;25;25;1;3;1;3;1;1;1
19;23;11;1;2;1;1;1;1;1
19;23;11;1;2;1;1;1;1;1
19;23;15;1;3;2;3;1;2;1
19;16;16;1;3;2;3;1;1;1
6;25;11;1;2;1;1;1;2;1
17;25;15;1;3;2;3;2;2;1
19;25;23;2;3;2;1;1;1;1
12;25;25;1;3;1;3;1;1;1
6;30;30;1;2;1;1;2;2;1
12;25;20;1;2;2;3;1;1;3
8;23;18;1;3;1;1;2;3;1
6;25;17;1;3;1;1;2;2;1
8;25;8;1;2;1;3;1;1;1
6;25;20;2;2;2;3;1;1;1
8;25;15;2;3;3;1;1;1;1
6;25;16;1;2;1;1;1;2;1
4;25;25;2;2;1;1;1;1;1
6;25;19;1;3;1;1;2;2;1
6;25;17;1;2;1;1;1;1;1
6;25;20;1;3;1;3;1;1;1
3;25;10;3;2;2;4;1;1;1
3;25;10;3;4;3;4;1;1;2
5;23;16;2;2;2;1;2;2;1
19;23;10;1;3;1;2;1;1;1
19;23;10;1;2;1;3;3;3;1
